"date","tot_n","weekday","keywords","keywords_n","pr","bl","prlow","prhigh","state","period"
2018-01-01,227374,"Monday","Campaign",0,0,0,0,0.00162237086490991,"Oregon","Baseline"
2018-01-01,227374,"Monday","Prevention",9,0.00395823620994485,0.00307072257940697,0.00180997310729972,0.00751383170793433,"Oregon","Baseline"
2018-01-02,227560,"Tuesday","Campaign",0,0,0,0,0.00162104480349745,"Oregon","Baseline"
2018-01-02,227560,"Tuesday","Prevention",350,0.153805589734576,0.00413016349954924,0.138122937701689,0.170778992693561,"Oregon","Baseline"
2018-01-03,258564,"Wednesday","Campaign",0,0,0,0,0.00142666927337004,"Oregon","Baseline"
2018-01-03,258564,"Wednesday","Prevention",68,0.0262990980956359,0.00336388734341282,0.0204228393679511,0.0333391995896367,"Oregon","Baseline"
2018-01-04,255471,"Thursday","Campaign",0,0,0,0,0.00144394190393889,"Oregon","Baseline"
2018-01-04,255471,"Thursday","Prevention",19,0.00743724336617463,0.00298992690005255,0.00447776383786484,0.0116139342248288,"Oregon","Baseline"
2018-01-05,259296,"Friday","Campaign",0,0,0,0,0.00142264177398867,"Oregon","Baseline"
2018-01-05,259296,"Friday","Prevention",9,0.00347093669011477,0.00344542217630394,0.00158714516418069,0.00658881629546571,"Oregon","Baseline"
2018-01-06,237990,"Saturday","Campaign",0,0,0,0,0.00155000246446441,"Oregon","Baseline"
2018-01-06,237990,"Saturday","Prevention",5,0.00210092861044582,0.00321724002920507,0.000682169207139197,0.00490279785300455,"Oregon","Baseline"
2018-01-07,227154,"Sunday","Campaign",0,0,0,0,0.00162394212798327,"Oregon","Baseline"
2018-01-07,227154,"Sunday","Prevention",9,0.00396206978525582,0.00391136913000111,0.00181172609200834,0.00752110876912655,"Oregon","Baseline"
2018-01-08,247784,"Monday","Campaign",0,0,0,0,0.00148873696251164,"Oregon","Baseline"
2018-01-08,247784,"Monday","Prevention",13,0.00524650502050173,0.00307072257940697,0.00279357158701904,0.00897151626308152,"Oregon","Baseline"
2018-01-09,261792,"Tuesday","Campaign",0,0,0,0,0.00140907799491909,"Oregon","Baseline"
2018-01-09,261792,"Tuesday","Prevention",14,0.00534775699792201,0.00413016349954924,0.00292369836687234,0.00897246492922167,"Oregon","Baseline"
2018-01-10,253750,"Wednesday","Campaign",1,0.000394088669950739,0,0.00000997746077684836,0.00219570175405671,"Oregon","Baseline"
2018-01-10,253750,"Wednesday","Prevention",1,0.000394088669950739,0.00336388734341282,0.00000997746077684836,0.00219570175405671,"Oregon","Baseline"
2018-01-11,254425,"Thursday","Campaign",0,0,0,0,0.00144987823992102,"Oregon","Baseline"
2018-01-11,254425,"Thursday","Prevention",5,0.00196521568242115,0.00298992690005255,0.00063810316299461,0.00458609773798379,"Oregon","Baseline"
2018-01-12,296275,"Friday","Campaign",0,0,0,0,0.00124507855517434,"Oregon","Baseline"
2018-01-12,296275,"Friday","Prevention",3,0.00101257277866847,0.00344542217630394,0.00020881733697549,0.00295913854981828,"Oregon","Baseline"
