"date","tot_n","keywords","keywords_n","pr","prlow","prhigh","state","period"
2018-01-01,205621,"Breaking the silence",0,0,0,0.00179400273547733,"Oregon","Baseline"
2018-01-01,205621,"Lifeline",5,0.00243165824502361,0.000789557376011218,0.00567458716624597,"Oregon","Baseline"
2018-01-02,206635,"Breaking the silence",0,0,0,0.00178519927751411,"Oregon","Baseline"
2018-01-02,206635,"Lifeline",335,0.162121615408813,0.145235679946327,0.180429324082786,"Oregon","Baseline"
2018-01-03,238808,"Breaking the silence",0,0,0,0.00154469321090807,"Oregon","Baseline"
2018-01-03,238808,"Lifeline",54,0.0226123077953837,0.0169875038101724,0.0295031399193011,"Oregon","Baseline"
2018-01-04,233915,"Breaking the silence",0,0,0,0.00157700462438822,"Oregon","Baseline"
2018-01-04,233915,"Lifeline",15,0.00641258576833465,0.00358911857391971,0.0105763648246915,"Oregon","Baseline"
2018-01-05,238171,"Breaking the silence",0,0,0,0.00154882453653263,"Oregon","Baseline"
2018-01-05,238171,"Lifeline",6,0.00251919839107196,0.000924506840836672,0.00548315306211744,"Oregon","Baseline"
2018-01-06,217460,"Breaking the silence",0,0,0,0.00169633411485568,"Oregon","Baseline"
2018-01-06,217460,"Lifeline",5,0.00229927342959625,0.000746571903497631,0.00536565491476079,"Oregon","Baseline"
2018-01-07,207504,"Breaking the silence",0,0,0,0.00177772315954613,"Oregon","Baseline"
2018-01-07,207504,"Lifeline",9,0.00433726578764747,0.00198329266879358,0.00823332110322315,"Oregon","Baseline"
2018-01-08,227132,"Breaking the silence",0,0,0,0.001624099421701,"Oregon","Baseline"
2018-01-08,227132,"Lifeline",11,0.00484299878484758,0.00241763154082634,0.00866529698346776,"Oregon","Baseline"
2018-01-09,241094,"Breaking the silence",0,0,0,0.00153004688347674,"Oregon","Baseline"
2018-01-09,241094,"Lifeline",12,0.00497731175392171,0.00257187521337271,0.00869420038333416,"Oregon","Baseline"
2018-01-10,233176,"Breaking the silence",1,0.000428860603149552,0.0000108578098131069,0.00238943492147072,"Oregon","Baseline"
2018-01-10,233176,"Lifeline",2,0.000857721206299105,0.000103874186073617,0.00309834919877519,"Oregon","Baseline"
2018-01-11,234122,"Breaking the silence",0,0,0,0.00157561031977129,"Oregon","Baseline"
2018-01-11,234122,"Lifeline",3,0.00128138321046292,0.000264252803238655,0.00374469938129419,"Oregon","Baseline"
2018-01-12,269690,"Breaking the silence",0,0,0,0.00136781275745283,"Oregon","Baseline"
2018-01-12,269690,"Lifeline",3,0.00111238829767511,0.000229401797357742,0.00325083589561574,"Oregon","Baseline"
2018-01-13,221208,"Breaking the silence",0,0,0,0.00166759280689859,"Oregon","Baseline"
2018-01-13,221208,"Lifeline",6,0.00271237929912119,0.00099540169422215,0.00590361362974911,"Oregon","Baseline"
2018-01-14,212327,"Breaking the silence",0,0,0,0.00173734259410445,"Oregon","Baseline"
2018-01-14,212327,"Lifeline",2,0.000941943323270239,0.00011407390994335,0.0034025812920892,"Oregon","Baseline"
2018-01-15,221672,"Breaking the silence",0,0,0,0.00166410225949404,"Oregon","Baseline"
2018-01-15,221672,"Lifeline",1,0.000451116965606843,0.0000114212920614599,0.00251343694196793,"Oregon","Baseline"
2018-01-16,231465,"Breaking the silence",0,0,0,0.0015936966968055,"Oregon","Baseline"
2018-01-16,231465,"Lifeline",3,0.00129609228177046,0.000267286185362354,0.00378768446457248,"Oregon","Baseline"
2018-01-17,237191,"Breaking the silence",0,0,0,0.00155522375169162,"Oregon","Baseline"
2018-01-17,237191,"Lifeline",378,0.159365237298211,0.143713607964374,0.176254251745739,"Oregon","Baseline"
2018-01-18,239100,"Breaking the silence",0,0,0,0.00154280677452936,"Oregon","Baseline"
2018-01-18,239100,"Lifeline",38,0.0158929318276872,0.0112470222258078,0.0218136447766731,"Oregon","Baseline"
2018-01-19,244508,"Breaking the silence",0,0,0,0.00150868340802257,"Oregon","Baseline"
2018-01-19,244508,"Lifeline",12,0.00490781487722283,0.00253596445317015,0.00857280780658977,"Oregon","Baseline"
2018-01-20,248970,"Breaking the silence",0,0,0,0.0014816452287397,"Oregon","Baseline"
2018-01-20,248970,"Lifeline",6,0.00240992890709724,0.000884406405132273,0.00524532629409567,"Oregon","Baseline"
2018-01-21,229290,"Breaking the silence",0,0,0,0.00160881406970584,"Oregon","Baseline"
2018-01-21,229290,"Lifeline",13,0.00566967595621266,0.00301889709205362,0.00969512340709788,"Oregon","Baseline"
2018-01-22,232265,"Breaking the silence",0,0,0,0.0015882075045772,"Oregon","Baseline"
2018-01-22,232265,"Lifeline",6,0.00258325619443308,0.000948015205384616,0.00562257574676147,"Oregon","Baseline"
2018-01-23,240329,"Breaking the silence",0,0,0,0.00153491719410433,"Oregon","Baseline"
2018-01-23,240329,"Lifeline",9,0.00374486641229315,0.00171240522695559,0.00710880338242524,"Oregon","Baseline"
2018-01-24,242909,"Breaking the silence",0,0,0,0.00151861456105487,"Oregon","Baseline"
