"date","tot_n","keywords","keywords_n","pr","prlow","prhigh","state","period"
2018-01-01,228,"Breaking the silence",0,0,0,1.60491140730012,"Oregon","Baseline"
2018-01-01,228,"Lifeline",5,2.19298245614035,0.715800537486171,5.0432085318917,"Oregon","Baseline"
2018-01-02,2686,"Breaking the silence",0,0,0,0.137243019728873,"Oregon","Baseline"
2018-01-02,2686,"Lifeline",335,12.4720774385704,11.2453607810903,13.7812119603039,"Oregon","Baseline"
2018-01-03,746,"Breaking the silence",0,0,0,0.493267283950712,"Oregon","Baseline"
2018-01-03,746,"Lifeline",54,7.23860589812332,5.4843223855993,9.33953598109002,"Oregon","Baseline"
2018-01-04,335,"Breaking the silence",0,0,0,1.09511749313487,"Oregon","Baseline"
2018-01-04,335,"Lifeline",15,4.47761194029851,2.5274197704541,7.27768638365226,"Oregon","Baseline"
2018-01-05,249,"Breaking the silence",0,0,0,1.47055780339792,"Oregon","Baseline"
2018-01-05,249,"Lifeline",6,2.40963855421687,0.889313577902032,5.17071509936453,"Oregon","Baseline"
2018-01-06,225,"Breaking the silence",0,0,0,1.62613529461632,"Oregon","Baseline"
2018-01-06,225,"Lifeline",5,2.22222222222222,0.725395617639373,5.1094498534638,"Oregon","Baseline"
2018-01-07,216,"Breaking the silence",0,0,0,1.69331407369356,"Oregon","Baseline"
2018-01-07,216,"Lifeline",9,4.16666666666667,1.92269285693841,7.7620226633299,"Oregon","Baseline"
2018-01-08,146,"Breaking the silence",0,0,0,2.49497761119478,"Oregon","Baseline"
2018-01-08,146,"Lifeline",11,7.53424657534247,3.82095564287115,13.0808766021586,"Oregon","Baseline"
2018-01-09,222,"Breaking the silence",0,0,0,1.64792803524411,"Oregon","Baseline"
2018-01-09,222,"Lifeline",12,5.40540540540541,2.82390577039582,9.25172831024801,"Oregon","Baseline"
2018-01-10,313,"Breaking the silence",1,0.319488817891374,0.00808842941340973,1.76713220751521,"Oregon","Baseline"
2018-01-10,313,"Lifeline",2,0.638977635782748,0.0774770473772507,2.28902237697408,"Oregon","Baseline"
2018-01-11,225,"Breaking the silence",0,0,0,1.62613529461632,"Oregon","Baseline"
2018-01-11,225,"Lifeline",3,1.33333333333333,0.275813963089867,3.84690489146491,"Oregon","Baseline"
2018-01-12,136,"Breaking the silence",0,0,0,2.67595583791432,"Oregon","Baseline"
2018-01-12,136,"Lifeline",3,2.20588235294118,0.457236800344237,6.31109261595327,"Oregon","Baseline"
2018-01-13,194,"Breaking the silence",0,0,0,1.8835200849896,"Oregon","Baseline"
2018-01-13,194,"Lifeline",6,3.09278350515464,1.14328855680872,6.60982877290917,"Oregon","Baseline"
2018-01-14,169,"Breaking the silence",0,0,0,2.15911889482309,"Oregon","Baseline"
2018-01-14,169,"Lifeline",2,1.18343195266272,0.143641799176318,4.2093896196174,"Oregon","Baseline"
2018-01-15,240,"Breaking the silence",0,0,0,1.52528104012787,"Oregon","Baseline"
2018-01-15,240,"Lifeline",1,0.416666666666667,0.0105485302635391,2.29952758398168,"Oregon","Baseline"
2018-01-16,161,"Breaking the silence",0,0,0,2.26518014136423,"Oregon","Baseline"
2018-01-16,161,"Lifeline",3,1.86335403726708,0.385929261890382,5.34873542597414,"Oregon","Baseline"
2018-01-17,786,"Breaking the silence",0,0,0,0.468223485868933,"Oregon","Baseline"
2018-01-17,786,"Lifeline",378,48.0916030534351,44.5478420961935,51.6497284575303,"Oregon","Baseline"
2018-01-18,252,"Breaking the silence",0,0,0,1.45317898870208,"Oregon","Baseline"
2018-01-18,252,"Lifeline",38,15.0793650793651,10.8972926292103,20.1051202546558,"Oregon","Baseline"
2018-01-19,202,"Breaking the silence",0,0,0,1.80960435918408,"Oregon","Baseline"
