startDate,endDate,numberOfDocuments
"2018-01-01T00:00:00","2018-01-02T00:00:00",227374
"2018-01-02T00:00:00","2018-01-03T00:00:00",227560
"2018-01-03T00:00:00","2018-01-04T00:00:00",258564
"2018-01-04T00:00:00","2018-01-05T00:00:00",255471
"2018-01-05T00:00:00","2018-01-06T00:00:00",259296
"2018-01-06T00:00:00","2018-01-07T00:00:00",237990
"2018-01-07T00:00:00","2018-01-08T00:00:00",227154
"2018-01-08T00:00:00","2018-01-09T00:00:00",247784
"2018-01-09T00:00:00","2018-01-10T00:00:00",261792
"2018-01-10T00:00:00","2018-01-11T00:00:00",253750
"2018-01-11T00:00:00","2018-01-12T00:00:00",254425
"2018-01-12T00:00:00","2018-01-13T00:00:00",296275
"2018-01-13T00:00:00","2018-01-14T00:00:00",241702
"2018-01-14T00:00:00","2018-01-15T00:00:00",229407
"2018-01-15T00:00:00","2018-01-16T00:00:00",246688
"2018-01-16T00:00:00","2018-01-17T00:00:00",250514
"2018-01-17T00:00:00","2018-01-18T00:00:00",259527
"2018-01-18T00:00:00","2018-01-19T00:00:00",259223
"2018-01-19T00:00:00","2018-01-20T00:00:00",268258
"2018-01-20T00:00:00","2018-01-21T00:00:00",273772
"2018-01-21T00:00:00","2018-01-22T00:00:00",249441
"2018-01-22T00:00:00","2018-01-23T00:00:00",256997
"2018-01-23T00:00:00","2018-01-24T00:00:00",260991
"2018-01-24T00:00:00","2018-01-25T00:00:00",265278
"2018-01-25T00:00:00","2018-01-26T00:00:00",261158
"2018-01-26T00:00:00","2018-01-27T00:00:00",254036
"2018-01-27T00:00:00","2018-01-28T00:00:00",224377
"2018-01-28T00:00:00","2018-01-29T00:00:00",214255
"2018-01-29T00:00:00","2018-01-30T00:00:00",248636
"2018-01-30T00:00:00","2018-01-31T00:00:00",271618
"2018-01-31T00:00:00","2018-02-01T00:00:00",298489
"2018-02-01T00:00:00","2018-02-02T00:00:00",270120
"2018-02-02T00:00:00","2018-02-03T00:00:00",273068
"2018-02-03T00:00:00","2018-02-04T00:00:00",235954
"2018-02-04T00:00:00","2018-02-05T00:00:00",227971
"2018-02-05T00:00:00","2018-02-06T00:00:00",282856
"2018-02-06T00:00:00","2018-02-07T00:00:00",250702
"2018-02-07T00:00:00","2018-02-08T00:00:00",260869
"2018-02-08T00:00:00","2018-02-09T00:00:00",259617
"2018-02-09T00:00:00","2018-02-10T00:00:00",252973
"2018-02-10T00:00:00","2018-02-11T00:00:00",229917
"2018-02-11T00:00:00","2018-02-12T00:00:00",212704
"2018-02-12T00:00:00","2018-02-13T00:00:00",228952
"2018-02-13T00:00:00","2018-02-14T00:00:00",248600
"2018-02-14T00:00:00","2018-02-15T00:00:00",262413
"2018-02-15T00:00:00","2018-02-16T00:00:00",295532
"2018-02-16T00:00:00","2018-02-17T00:00:00",284477
"2018-02-17T00:00:00","2018-02-18T00:00:00",247689
"2018-02-18T00:00:00","2018-02-19T00:00:00",240492
"2018-02-19T00:00:00","2018-02-20T00:00:00",251031
"2018-02-20T00:00:00","2018-02-21T00:00:00",270644
"2018-02-21T00:00:00","2018-02-22T00:00:00",286900
"2018-02-22T00:00:00","2018-02-23T00:00:00",303850
"2018-02-23T00:00:00","2018-02-24T00:00:00",277485
"2018-02-24T00:00:00","2018-02-25T00:00:00",254979
"2018-02-25T00:00:00","2018-02-26T00:00:00",245890
"2018-02-26T00:00:00","2018-02-27T00:00:00",251515
"2018-02-27T00:00:00","2018-02-28T00:00:00",259383
"2018-02-28T00:00:00","2018-03-01T00:00:00",271720
"2018-03-01T00:00:00","2018-03-02T00:00:00",265490
"2018-03-02T00:00:00","2018-03-03T00:00:00",263165
"2018-03-03T00:00:00","2018-03-04T00:00:00",227552
"2018-03-04T00:00:00","2018-03-05T00:00:00",215459
"2018-03-05T00:00:00","2018-03-06T00:00:00",247829
"2018-03-06T00:00:00","2018-03-07T00:00:00",254173
"2018-03-07T00:00:00","2018-03-08T00:00:00",256974
"2018-03-08T00:00:00","2018-03-09T00:00:00",266350
"2018-03-09T00:00:00","2018-03-10T00:00:00",249607
"2018-03-10T00:00:00","2018-03-11T00:00:00",220130
"2018-03-11T00:00:00","2018-03-12T00:00:00",207284
"2018-03-12T00:00:00","2018-03-13T00:00:00",229744
"2018-03-13T00:00:00","2018-03-14T00:00:00",264831
"2018-03-14T00:00:00","2018-03-15T00:00:00",284955
"2018-03-15T00:00:00","2018-03-16T00:00:00",261146
"2018-03-16T00:00:00","2018-03-17T00:00:00",252257
"2018-03-17T00:00:00","2018-03-18T00:00:00",248868
"2018-03-18T00:00:00","2018-03-19T00:00:00",223696
"2018-03-19T00:00:00","2018-03-20T00:00:00",244686
"2018-03-20T00:00:00","2018-03-21T00:00:00",251881
"2018-03-21T00:00:00","2018-03-22T00:00:00",254320
"2018-03-22T00:00:00","2018-03-23T00:00:00",246023
"2018-03-23T00:00:00","2018-03-24T00:00:00",252787
"2018-03-24T00:00:00","2018-03-25T00:00:00",247411
"2018-03-25T00:00:00","2018-03-26T00:00:00",216849
"2018-03-26T00:00:00","2018-03-27T00:00:00",233128
"2018-03-27T00:00:00","2018-03-28T00:00:00",238157
"2018-03-28T00:00:00","2018-03-29T00:00:00",240848
"2018-03-29T00:00:00","2018-03-30T00:00:00",239624
"2018-03-30T00:00:00","2018-03-31T00:00:00",237486
"2018-03-31T00:00:00","2018-04-01T00:00:00",215714
"2018-04-01T00:00:00","2018-04-02T00:00:00",211003
"2018-04-02T00:00:00","2018-04-03T00:00:00",225504
"2018-04-03T00:00:00","2018-04-04T00:00:00",246241
"2018-04-04T00:00:00","2018-04-05T00:00:00",247551
