"date","ntweets"
2018-01-01,"2656"
2018-01-02,"812"
2018-01-03,"347"
2018-01-04,"258"
2018-01-05,"241"
2018-01-06,"266"
2018-01-07,"194"
2018-01-08,"210"
2018-01-09,"333"
2018-01-10,"234"
2018-01-11,"132"
2018-01-12,"193"
2018-01-13,"178"
2018-01-14,"240"
2018-01-15,"180"
2018-01-16,"821"
2018-01-17,"382"
2018-01-18,"203"
2018-01-19,"188"
2018-01-20,"184"
2018-01-21,"138"
2018-01-22,"160"
2018-01-23,"209"
2018-01-24,"224"
2018-01-25,"259"
2018-01-26,"266"
2018-01-27,"244"
2018-01-28,"351"
2018-01-29,"339"
2018-01-30,"254"
2018-01-31,"231"
2018-02-01,"304"
2018-02-02,"161"
2018-02-03,"163"
2018-02-04,"124"
2018-02-05,"165"
2018-02-06,"237"
2018-02-07,"373"
2018-02-08,"265"
2018-02-09,"149"
2018-02-10,"131"
2018-02-11,"133"
2018-02-12,"111"
2018-02-13,"129"
2018-02-14,"230"
2018-02-15,"272"
2018-02-16,"182"
2018-02-17,"233"
2018-02-18,"251"
2018-02-19,"193"
2018-02-20,"260"
2018-02-21,"364"
2018-02-22,"324"
2018-02-23,"302"
2018-02-24,"178"
2018-02-25,"194"
2018-02-26,"179"
2018-02-27,"198"
2018-02-28,"208"
2018-03-01,"196"
2018-03-02,"172"
2018-03-03,"138"
2018-03-04,"135"
2018-03-05,"168"
2018-03-06,"269"
2018-03-07,"426"
2018-03-08,"217"
2018-03-09,"212"
2018-03-10,"206"
2018-03-11,"199"
2018-03-12,"187"
2018-03-13,"196"
2018-03-14,"136"
2018-03-15,"181"
2018-03-16,"191"
2018-03-17,"119"
2018-03-18,"139"
2018-03-19,"218"
2018-03-20,"360"
2018-03-21,"291"
2018-03-22,"254"
2018-03-23,"342"
2018-03-24,"319"
2018-03-25,"306"
2018-03-26,"437"
2018-03-27,"362"
2018-03-28,"228"
2018-03-29,"174"
2018-03-30,"143"
2018-03-31,"139"
2018-04-01,"206"
2018-04-02,"228"
