"date","ntweets"
2018-01-01,"3649"
2018-01-02,"1041"
2018-01-03,"404"
2018-01-04,"403"
2018-01-05,"386"
2018-01-06,"358"
2018-01-07,"313"
2018-01-08,"267"
2018-01-09,"394"
2018-01-10,"350"
2018-01-11,"261"
2018-01-12,"282"
2018-01-13,"259"
2018-01-14,"308"
2018-01-15,"267"
2018-01-16,"3245"
2018-01-17,"922"
2018-01-18,"421"
2018-01-19,"329"
2018-01-20,"279"
2018-01-21,"227"
2018-01-22,"303"
2018-01-23,"386"
2018-01-24,"431"
2018-01-25,"404"
2018-01-26,"409"
2018-01-27,"336"
2018-01-28,"490"
2018-01-29,"535"
2018-01-30,"354"
2018-01-31,"435"
2018-02-01,"481"
2018-02-02,"222"
2018-02-03,"216"
2018-02-04,"205"
2018-02-05,"257"
2018-02-06,"366"
2018-02-07,"564"
2018-02-08,"405"
2018-02-09,"167"
2018-02-10,"217"
2018-02-11,"226"
2018-02-12,"189"
2018-02-13,"202"
2018-02-14,"430"
2018-02-15,"347"
2018-02-16,"269"
2018-02-17,"259"
2018-02-18,"371"
2018-02-19,"273"
2018-02-20,"350"
2018-02-21,"522"
2018-02-22,"524"
2018-02-23,"478"
2018-02-24,"215"
2018-02-25,"265"
2018-02-26,"228"
2018-02-27,"253"
2018-02-28,"306"
2018-03-01,"271"
2018-03-02,"230"
2018-03-03,"163"
2018-03-04,"189"
2018-03-05,"274"
2018-03-06,"389"
2018-03-07,"559"
2018-03-08,"301"
2018-03-09,"231"
2018-03-10,"298"
2018-03-11,"262"
2018-03-12,"412"
2018-03-13,"347"
2018-03-14,"212"
2018-03-15,"244"
2018-03-16,"198"
2018-03-17,"165"
2018-03-18,"203"
2018-03-19,"331"
2018-03-20,"559"
2018-03-21,"433"
2018-03-22,"364"
2018-03-23,"446"
2018-03-24,"531"
2018-03-25,"525"
2018-03-26,"688"
2018-03-27,"501"
2018-03-28,"402"
2018-03-29,"282"
2018-03-30,"252"
2018-03-31,"178"
2018-04-01,"309"
2018-04-02,"367"
2018-04-03,"296"
2018-04-04,"289"
2018-04-05,"231"
2018-04-06,"196"
2018-04-07,"147"
2018-04-08,"170"
2018-04-09,"365"
2018-04-10,"230"
2018-04-11,"237"
2018-04-12,"242"
2018-04-13,"267"
2018-04-14,"243"
2018-04-15,"285"
2018-04-16,"201"
2018-04-17,"198"
2018-04-18,"208"
2018-04-19,"234"
2018-04-20,"206"
2018-04-21,"349"
2018-04-22,"335"
2018-04-23,"468"
2018-04-24,"566"
2018-04-25,"459"
2018-04-26,"451"
2018-04-27,"321"
2018-04-28,"196"
2018-04-29,"384"
2018-04-30,"333"
2018-05-01,"222"
2018-05-02,"241"
2018-05-03,"196"
2018-05-04,"159"
2018-05-05,"173"
2018-05-06,"199"
2018-05-07,"222"
2018-05-08,"301"
2018-05-09,"302"
2018-05-10,"458"
2018-05-11,"214"
2018-05-12,"266"
2018-05-13,"409"
2018-05-14,"288"
2018-05-15,"399"
2018-05-16,"281"
2018-05-17,"307"
2018-05-18,"277"
2018-05-19,"276"
2018-05-20,"377"
2018-05-21,"313"
2018-05-22,"294"
2018-05-23,"260"
2018-05-24,"347"
2018-05-25,"235"
2018-05-26,"218"
2018-05-27,"550"
2018-05-28,"1103"
2018-05-29,"411"
2018-05-30,"348"
2018-05-31,"308"
2018-06-01,"183"
2018-06-02,"178"
2018-06-03,"156"
2018-06-04,"1443"
2018-06-05,"1674"
2018-06-06,"1021"
2018-06-07,"5782"
2018-06-08,"2981"
2018-06-09,"1261"
2018-06-10,"736"
2018-06-11,"687"
2018-06-12,"659"
2018-06-13,"492"
2018-06-14,"414"
2018-06-15,"452"
2018-06-16,"840"
2018-06-17,"714"
2018-06-18,"610"
2018-06-19,"487"
2018-06-20,"419"
2018-06-21,"308"
2018-06-22,"258"
2018-06-23,"265"
2018-06-24,"312"
2018-06-25,"669"
2018-06-26,"526"
2018-06-27,"350"
2018-06-28,"296"
2018-06-29,"249"
2018-06-30,"157"
2018-07-01,"228"
2018-07-02,"166"
2018-07-03,"217"
2018-07-04,"184"
2018-07-05,"187"
2018-07-06,"216"
2018-07-07,"308"
2018-07-08,"206"
2018-07-09,"140"
2018-07-10,"197"
2018-07-11,"153"
2018-07-12,"235"
2018-07-13,"199"
2018-07-14,"154"
2018-07-15,"150"
2018-07-16,"185"
2018-07-17,"162"
2018-07-18,"219"
2018-07-19,"178"
2018-07-20,"206"
2018-07-21,"235"
2018-07-22,"198"
2018-07-23,"232"
2018-07-24,"248"
2018-07-25,"285"
2018-07-26,"361"
2018-07-27,"222"
2018-07-28,"195"
2018-07-29,"208"
2018-07-30,"201"
2018-07-31,"199"
2018-08-01,"185"
2018-08-02,"256"
2018-08-03,"194"
2018-08-04,"184"
2018-08-05,"170"
2018-08-06,"167"
2018-08-07,"161"
2018-08-08,"152"
2018-08-09,"151"
2018-08-10,"983"
2018-08-11,"302"
2018-08-12,"225"
2018-08-13,"245"
2018-08-14,"352"
2018-08-15,"252"
2018-08-16,"339"
2018-08-17,"148"
2018-08-18,"193"
2018-08-19,"141"
2018-08-20,"148"
2018-08-21,"195"
2018-08-22,"280"
2018-08-23,"388"
2018-08-24,"276"
2018-08-25,"166"
2018-08-26,"247"
2018-08-27,"418"
2018-08-28,"376"
2018-08-29,"264"
2018-08-30,"225"
2018-08-31,"229"
2018-09-01,"192"
2018-09-02,"173"
2018-09-03,"189"
2018-09-04,"311"
2018-09-05,"308"
2018-09-06,"353"
2018-09-07,"353"
2018-09-08,"430"
2018-09-09,"1112"
2018-09-10,"903"
2018-09-11,"377"
2018-09-12,"241"
2018-09-13,"263"
2018-09-14,"365"
2018-09-15,"202"
2018-09-16,"330"
2018-09-17,"269"
2018-09-18,"306"
2018-09-19,"249"
2018-09-20,"268"
2018-09-21,"441"
2018-09-22,"223"
2018-09-23,"190"
2018-09-24,"175"
2018-09-25,"232"
2018-09-26,"268"
2018-09-27,"244"
2018-09-28,"188"
2018-09-29,"162"
2018-09-30,"136"
2018-10-01,"138"
2018-10-02,"244"
2018-10-03,"257"
2018-10-04,"251"
2018-10-05,"148"
2018-10-06,"200"
2018-10-07,"149"
2018-10-08,"273"
2018-10-09,"368"
2018-10-10,"302"
2018-10-11,"183"
2018-10-12,"140"
2018-10-13,"160"
2018-10-14,"135"
2018-10-15,"181"
2018-10-16,"166"
2018-10-17,"202"
