startDate,endDate,numberOfDocuments
"2018-01-01T00:00:00","2018-01-02T00:00:00",378996
"2018-01-02T00:00:00","2018-01-03T00:00:00",368098
"2018-01-03T00:00:00","2018-01-04T00:00:00",403504
"2018-01-04T00:00:00","2018-01-05T00:00:00",402700
"2018-01-05T00:00:00","2018-01-06T00:00:00",405993
"2018-01-06T00:00:00","2018-01-07T00:00:00",375154
"2018-01-07T00:00:00","2018-01-08T00:00:00",359853
"2018-01-08T00:00:00","2018-01-09T00:00:00",395714
"2018-01-09T00:00:00","2018-01-10T00:00:00",424378
"2018-01-10T00:00:00","2018-01-11T00:00:00",418665
"2018-01-11T00:00:00","2018-01-12T00:00:00",410315
"2018-01-12T00:00:00","2018-01-13T00:00:00",462505
"2018-01-13T00:00:00","2018-01-14T00:00:00",383750
"2018-01-14T00:00:00","2018-01-15T00:00:00",361224
"2018-01-15T00:00:00","2018-01-16T00:00:00",394808
"2018-01-16T00:00:00","2018-01-17T00:00:00",408059
"2018-01-17T00:00:00","2018-01-18T00:00:00",429569
"2018-01-18T00:00:00","2018-01-19T00:00:00",414805
"2018-01-19T00:00:00","2018-01-20T00:00:00",423359
"2018-01-20T00:00:00","2018-01-21T00:00:00",423763
"2018-01-21T00:00:00","2018-01-22T00:00:00",389183
"2018-01-22T00:00:00","2018-01-23T00:00:00",405573
"2018-01-23T00:00:00","2018-01-24T00:00:00",414847
"2018-01-24T00:00:00","2018-01-25T00:00:00",420185
"2018-01-25T00:00:00","2018-01-26T00:00:00",418856
"2018-01-26T00:00:00","2018-01-27T00:00:00",405243
"2018-01-27T00:00:00","2018-01-28T00:00:00",354207
"2018-01-28T00:00:00","2018-01-29T00:00:00",340861
"2018-01-29T00:00:00","2018-01-30T00:00:00",398294
"2018-01-30T00:00:00","2018-01-31T00:00:00",424300
"2018-01-31T00:00:00","2018-02-01T00:00:00",463500
"2018-02-01T00:00:00","2018-02-02T00:00:00",423172
"2018-02-02T00:00:00","2018-02-03T00:00:00",441177
"2018-02-03T00:00:00","2018-02-04T00:00:00",374873
"2018-02-04T00:00:00","2018-02-05T00:00:00",367262
"2018-02-05T00:00:00","2018-02-06T00:00:00",478281
"2018-02-06T00:00:00","2018-02-07T00:00:00",415679
"2018-02-07T00:00:00","2018-02-08T00:00:00",418374
"2018-02-08T00:00:00","2018-02-09T00:00:00",411311
"2018-02-09T00:00:00","2018-02-10T00:00:00",402096
"2018-02-10T00:00:00","2018-02-11T00:00:00",361520
"2018-02-11T00:00:00","2018-02-12T00:00:00",331614
"2018-02-12T00:00:00","2018-02-13T00:00:00",362136
"2018-02-13T00:00:00","2018-02-14T00:00:00",394173
"2018-02-14T00:00:00","2018-02-15T00:00:00",422803
"2018-02-15T00:00:00","2018-02-16T00:00:00",462348
"2018-02-16T00:00:00","2018-02-17T00:00:00",455972
"2018-02-17T00:00:00","2018-02-18T00:00:00",390624
"2018-02-18T00:00:00","2018-02-19T00:00:00",377930
"2018-02-19T00:00:00","2018-02-20T00:00:00",387470
"2018-02-20T00:00:00","2018-02-21T00:00:00",410993
"2018-02-21T00:00:00","2018-02-22T00:00:00",439466
"2018-02-22T00:00:00","2018-02-23T00:00:00",474163
"2018-02-23T00:00:00","2018-02-24T00:00:00",447251
"2018-02-24T00:00:00","2018-02-25T00:00:00",404009
"2018-02-25T00:00:00","2018-02-26T00:00:00",374540
"2018-02-26T00:00:00","2018-02-27T00:00:00",407330
"2018-02-27T00:00:00","2018-02-28T00:00:00",418162
"2018-02-28T00:00:00","2018-03-01T00:00:00",428909
"2018-03-01T00:00:00","2018-03-02T00:00:00",428700
"2018-03-02T00:00:00","2018-03-03T00:00:00",422157
"2018-03-03T00:00:00","2018-03-04T00:00:00",363717
"2018-03-04T00:00:00","2018-03-05T00:00:00",338676
"2018-03-05T00:00:00","2018-03-06T00:00:00",402991
"2018-03-06T00:00:00","2018-03-07T00:00:00",408487
"2018-03-07T00:00:00","2018-03-08T00:00:00",417324
"2018-03-08T00:00:00","2018-03-09T00:00:00",431940
"2018-03-09T00:00:00","2018-03-10T00:00:00",413134
"2018-03-10T00:00:00","2018-03-11T00:00:00",351497
"2018-03-11T00:00:00","2018-03-12T00:00:00",339209
"2018-03-12T00:00:00","2018-03-13T00:00:00",375321
"2018-03-13T00:00:00","2018-03-14T00:00:00",427591
"2018-03-14T00:00:00","2018-03-15T00:00:00",457407
"2018-03-15T00:00:00","2018-03-16T00:00:00",428584
"2018-03-16T00:00:00","2018-03-17T00:00:00",396420
"2018-03-17T00:00:00","2018-03-18T00:00:00",390467
"2018-03-18T00:00:00","2018-03-19T00:00:00",346161
"2018-03-19T00:00:00","2018-03-20T00:00:00",385016
"2018-03-20T00:00:00","2018-03-21T00:00:00",406994
"2018-03-21T00:00:00","2018-03-22T00:00:00",406534
"2018-03-22T00:00:00","2018-03-23T00:00:00",408615
"2018-03-23T00:00:00","2018-03-24T00:00:00",419569
