date	numberOfDocuments
2018-01-01T00:00:00.000+0000	205621
2018-01-02T00:00:00.000+0000	206635
2018-01-03T00:00:00.000+0000	238808
2018-01-04T00:00:00.000+0000	233915
2018-01-05T00:00:00.000+0000	238171
2018-01-06T00:00:00.000+0000	217460
2018-01-07T00:00:00.000+0000	207504
2018-01-08T00:00:00.000+0000	227132
2018-01-09T00:00:00.000+0000	241094
2018-01-10T00:00:00.000+0000	233176
2018-01-11T00:00:00.000+0000	234122
2018-01-12T00:00:00.000+0000	269690
2018-01-13T00:00:00.000+0000	221208
2018-01-14T00:00:00.000+0000	212327
2018-01-15T00:00:00.000+0000	221672
2018-01-16T00:00:00.000+0000	231465
2018-01-17T00:00:00.000+0000	237191
2018-01-18T00:00:00.000+0000	239100
2018-01-19T00:00:00.000+0000	244508
2018-01-20T00:00:00.000+0000	248970
2018-01-21T00:00:00.000+0000	229290
2018-01-22T00:00:00.000+0000	232265
2018-01-23T00:00:00.000+0000	240329
2018-01-24T00:00:00.000+0000	242909
2018-01-25T00:00:00.000+0000	238180
2018-01-26T00:00:00.000+0000	231646
2018-01-27T00:00:00.000+0000	201949
2018-01-28T00:00:00.000+0000	195768
2018-01-29T00:00:00.000+0000	231568
2018-01-30T00:00:00.000+0000	247749
2018-01-31T00:00:00.000+0000	270636
2018-02-01T00:00:00.000+0000	249099
2018-02-02T00:00:00.000+0000	247766
2018-02-03T00:00:00.000+0000	213556
2018-02-04T00:00:00.000+0000	210495
2018-02-05T00:00:00.000+0000	257086
2018-02-06T00:00:00.000+0000	229204
2018-02-07T00:00:00.000+0000	240321
2018-02-08T00:00:00.000+0000	235085
2018-02-09T00:00:00.000+0000	231078
2018-02-10T00:00:00.000+0000	207994
2018-02-11T00:00:00.000+0000	194375
2018-02-12T00:00:00.000+0000	211415
2018-02-13T00:00:00.000+0000	228017
2018-02-14T00:00:00.000+0000	241782
2018-02-15T00:00:00.000+0000	269570
2018-02-16T00:00:00.000+0000	258840
2018-02-17T00:00:00.000+0000	225352
2018-02-18T00:00:00.000+0000	220933
2018-02-19T00:00:00.000+0000	228447
2018-02-20T00:00:00.000+0000	250105
2018-02-21T00:00:00.000+0000	263895
2018-02-22T00:00:00.000+0000	277033
2018-02-23T00:00:00.000+0000	254146
2018-02-24T00:00:00.000+0000	232798
2018-02-25T00:00:00.000+0000	221724
2018-02-26T00:00:00.000+0000	229238
2018-02-27T00:00:00.000+0000	237655
2018-02-28T00:00:00.000+0000	248566
2018-03-01T00:00:00.000+0000	241808
2018-03-02T00:00:00.000+0000	242350
2018-03-03T00:00:00.000+0000	205999
2018-03-04T00:00:00.000+0000	195149
2018-03-05T00:00:00.000+0000	229350
2018-03-06T00:00:00.000+0000	231757
2018-03-07T00:00:00.000+0000	236159
2018-03-08T00:00:00.000+0000	242599
2018-03-09T00:00:00.000+0000	224518
2018-03-10T00:00:00.000+0000	199843
2018-03-11T00:00:00.000+0000	188984
2018-03-12T00:00:00.000+0000	209128
2018-03-13T00:00:00.000+0000	241017
2018-03-14T00:00:00.000+0000	261884
2018-03-15T00:00:00.000+0000	240192
2018-03-16T00:00:00.000+0000	233477
2018-03-17T00:00:00.000+0000	224707
2018-03-18T00:00:00.000+0000	203944
2018-03-19T00:00:00.000+0000	226143
2018-03-20T00:00:00.000+0000	230150
2018-03-21T00:00:00.000+0000	233374
2018-03-22T00:00:00.000+0000	224088
2018-03-23T00:00:00.000+0000	227751
2018-03-24T00:00:00.000+0000	227244
2018-03-25T00:00:00.000+0000	207667
2018-03-26T00:00:00.000+0000	212628
2018-03-27T00:00:00.000+0000	213917
2018-03-28T00:00:00.000+0000	216669
2018-03-29T00:00:00.000+0000	216677
2018-03-30T00:00:00.000+0000	214029
2018-03-31T00:00:00.000+0000	196120
2018-04-01T00:00:00.000+0000	188271
2018-04-02T00:00:00.000+0000	209447
2018-04-03T00:00:00.000+0000	226650
2018-04-04T00:00:00.000+0000	222326
2018-04-05T00:00:00.000+0000	220701
2018-04-06T00:00:00.000+0000	219222
2018-04-07T00:00:00.000+0000	193343
2018-04-08T00:00:00.000+0000	188683
2018-04-09T00:00:00.000+0000	209790
2018-04-10T00:00:00.000+0000	227003
2018-04-11T00:00:00.000+0000	229574
2018-04-12T00:00:00.000+0000	231078
2018-04-13T00:00:00.000+0000	229170
2018-04-14T00:00:00.000+0000	206412
2018-04-15T00:00:00.000+0000	198674
2018-04-16T00:00:00.000+0000	214958
2018-04-17T00:00:00.000+0000	224484
2018-04-18T00:00:00.000+0000	240467
2018-04-19T00:00:00.000+0000	222532
2018-04-20T00:00:00.000+0000	228103
2018-04-21T00:00:00.000+0000	194358
2018-04-22T00:00:00.000+0000	188915
2018-04-23T00:00:00.000+0000	208123
2018-04-24T00:00:00.000+0000	215671
2018-04-25T00:00:00.000+0000	221604
2018-04-26T00:00:00.000+0000	235325
2018-04-27T00:00:00.000+0000	226951
2018-04-28T00:00:00.000+0000	199671
2018-04-29T00:00:00.000+0000	203643
2018-04-30T00:00:00.000+0000	215628
2018-05-01T00:00:00.000+0000	218371
2018-05-02T00:00:00.000+0000	218921
2018-05-03T00:00:00.000+0000	221767
2018-05-04T00:00:00.000+0000	211639
2018-05-05T00:00:00.000+0000	184376
2018-05-06T00:00:00.000+0000	181530
2018-05-07T00:00:00.000+0000	197797
2018-05-08T00:00:00.000+0000	225068
2018-05-09T00:00:00.000+0000	224071
2018-05-10T00:00:00.000+0000	219463
2018-05-11T00:00:00.000+0000	216970
2018-05-12T00:00:00.000+0000	182398
2018-05-13T00:00:00.000+0000	174815
2018-05-14T00:00:00.000+0000	202027
2018-05-15T00:00:00.000+0000	221079
2018-05-16T00:00:00.000+0000	237733
2018-05-17T00:00:00.000+0000	233219
2018-05-18T00:00:00.000+0000	236383
2018-05-19T00:00:00.000+0000	202672
2018-05-20T00:00:00.000+0000	189113
2018-05-21T00:00:00.000+0000	215706
2018-05-22T00:00:00.000+0000	217537
2018-05-23T00:00:00.000+0000	231078
2018-05-24T00:00:00.000+0000	237183
2018-05-25T00:00:00.000+0000	233133
2018-05-26T00:00:00.000+0000	198682
2018-05-27T00:00:00.000+0000	182613
2018-05-28T00:00:00.000+0000	197453
2018-05-29T00:00:00.000+0000	228181
2018-05-30T00:00:00.000+0000	243657
2018-05-31T00:00:00.000+0000	234534
2018-06-01T00:00:00.000+0000	248764
2018-06-02T00:00:00.000+0000	191950
2018-06-03T00:00:00.000+0000	184677
2018-06-04T00:00:00.000+0000	225645
2018-06-05T00:00:00.000+0000	242066
2018-06-06T00:00:00.000+0000	239255
2018-06-07T00:00:00.000+0000	235747
2018-06-08T00:00:00.000+0000	243743
2018-06-09T00:00:00.000+0000	214149
2018-06-10T00:00:00.000+0000	211252
2018-06-11T00:00:00.000+0000	237019
2018-06-12T00:00:00.000+0000	250354
2018-06-13T00:00:00.000+0000	238120
2018-06-14T00:00:00.000+0000	244972
2018-06-15T00:00:00.000+0000	248248
2018-06-16T00:00:00.000+0000	210057
2018-06-17T00:00:00.000+0000	216385
2018-06-18T00:00:00.000+0000	258359
2018-06-19T00:00:00.000+0000	276328
2018-06-20T00:00:00.000+0000	290359
2018-06-21T00:00:00.000+0000	285991
2018-06-22T00:00:00.000+0000	268444
2018-06-23T00:00:00.000+0000	218173
2018-06-24T00:00:00.000+0000	213049
2018-06-25T00:00:00.000+0000	233580
2018-06-26T00:00:00.000+0000	247534
2018-06-27T00:00:00.000+0000	255281
2018-06-28T00:00:00.000+0000	258212
2018-06-29T00:00:00.000+0000	258917
2018-06-30T00:00:00.000+0000	212241
2018-07-01T00:00:00.000+0000	211863
2018-07-02T00:00:00.000+0000	230081
2018-07-03T00:00:00.000+0000	234397
2018-07-04T00:00:00.000+0000	212387
2018-07-05T00:00:00.000+0000	198545
2018-07-06T00:00:00.000+0000	198055
2018-07-07T00:00:00.000+0000	176956
