date	numberOfDocuments
2018-01-01T00:00:00.000+0000	375
2018-01-02T00:00:00.000+0000	3707
2018-01-03T00:00:00.000+0000	998
2018-01-04T00:00:00.000+0000	444
2018-01-05T00:00:00.000+0000	434
2018-01-06T00:00:00.000+0000	365
2018-01-07T00:00:00.000+0000	281
2018-01-08T00:00:00.000+0000	251
2018-01-09T00:00:00.000+0000	301
2018-01-10T00:00:00.000+0000	397
2018-01-11T00:00:00.000+0000	387
2018-01-12T00:00:00.000+0000	288
2018-01-13T00:00:00.000+0000	294
2018-01-14T00:00:00.000+0000	288
2018-01-15T00:00:00.000+0000	335
2018-01-16T00:00:00.000+0000	268
2018-01-17T00:00:00.000+0000	3134
2018-01-18T00:00:00.000+0000	745
2018-01-19T00:00:00.000+0000	469
2018-01-20T00:00:00.000+0000	365
2018-01-21T00:00:00.000+0000	298
2018-01-22T00:00:00.000+0000	263
2018-01-23T00:00:00.000+0000	332
2018-01-24T00:00:00.000+0000	440
2018-01-25T00:00:00.000+0000	454
2018-01-26T00:00:00.000+0000	452
2018-01-27T00:00:00.000+0000	443
2018-01-28T00:00:00.000+0000	369
2018-01-29T00:00:00.000+0000	528
2018-01-30T00:00:00.000+0000	568
2018-01-31T00:00:00.000+0000	393
2018-02-01T00:00:00.000+0000	498
2018-02-02T00:00:00.000+0000	513
2018-02-03T00:00:00.000+0000	252
2018-02-04T00:00:00.000+0000	232
2018-02-05T00:00:00.000+0000	232
2018-02-06T00:00:00.000+0000	282
2018-02-07T00:00:00.000+0000	345
2018-02-08T00:00:00.000+0000	501
2018-02-09T00:00:00.000+0000	395
2018-02-10T00:00:00.000+0000	182
2018-02-11T00:00:00.000+0000	260
2018-02-12T00:00:00.000+0000	253
2018-02-13T00:00:00.000+0000	238
2018-02-14T00:00:00.000+0000	246
2018-02-15T00:00:00.000+0000	482
2018-02-16T00:00:00.000+0000	394
2018-02-17T00:00:00.000+0000	295
2018-02-18T00:00:00.000+0000	320
2018-02-19T00:00:00.000+0000	364
2018-02-20T00:00:00.000+0000	313
2018-02-21T00:00:00.000+0000	406
2018-02-22T00:00:00.000+0000	575
2018-02-23T00:00:00.000+0000	558
2018-02-24T00:00:00.000+0000	513
2018-02-25T00:00:00.000+0000	248
2018-02-26T00:00:00.000+0000	294
2018-02-27T00:00:00.000+0000	245
2018-02-28T00:00:00.000+0000	303
2018-03-01T00:00:00.000+0000	349
2018-03-02T00:00:00.000+0000	300
2018-03-03T00:00:00.000+0000	261
2018-03-04T00:00:00.000+0000	185
2018-03-05T00:00:00.000+0000	232
2018-03-06T00:00:00.000+0000	318
2018-03-07T00:00:00.000+0000	452
2018-03-08T00:00:00.000+0000	566
2018-03-09T00:00:00.000+0000	346
2018-03-10T00:00:00.000+0000	256
2018-03-11T00:00:00.000+0000	319
2018-03-12T00:00:00.000+0000	283
2018-03-13T00:00:00.000+0000	454
2018-03-14T00:00:00.000+0000	363
2018-03-15T00:00:00.000+0000	246
2018-03-16T00:00:00.000+0000	278
2018-03-17T00:00:00.000+0000	216
2018-03-18T00:00:00.000+0000	202
2018-03-19T00:00:00.000+0000	245
2018-03-20T00:00:00.000+0000	336
2018-03-21T00:00:00.000+0000	527
2018-03-22T00:00:00.000+0000	420
2018-03-23T00:00:00.000+0000	375
2018-03-24T00:00:00.000+0000	487
2018-03-25T00:00:00.000+0000	567
2018-03-26T00:00:00.000+0000	533
2018-03-27T00:00:00.000+0000	718
2018-03-28T00:00:00.000+0000	508
2018-03-29T00:00:00.000+0000	457
2018-03-30T00:00:00.000+0000	323
2018-03-31T00:00:00.000+0000	262
2018-04-01T00:00:00.000+0000	214
2018-04-02T00:00:00.000+0000	406
2018-04-03T00:00:00.000+0000	381
