date	numberOfDocuments
2018-01-01T00:00:00.000+0000	363254
2018-01-02T00:00:00.000+0000	356131
2018-01-03T00:00:00.000+0000	387667
2018-01-04T00:00:00.000+0000	389862
2018-01-05T00:00:00.000+0000	391022
2018-01-06T00:00:00.000+0000	358153
2018-01-07T00:00:00.000+0000	345917
2018-01-08T00:00:00.000+0000	378063
2018-01-09T00:00:00.000+0000	409370
2018-01-10T00:00:00.000+0000	400202
2018-01-11T00:00:00.000+0000	395618
2018-01-12T00:00:00.000+0000	441125
2018-01-13T00:00:00.000+0000	367079
2018-01-14T00:00:00.000+0000	352695
2018-01-15T00:00:00.000+0000	390057
2018-01-16T00:00:00.000+0000	395147
2018-01-17T00:00:00.000+0000	412288
2018-01-18T00:00:00.000+0000	399639
2018-01-19T00:00:00.000+0000	405843
2018-01-20T00:00:00.000+0000	408301
2018-01-21T00:00:00.000+0000	380372
2018-01-22T00:00:00.000+0000	382877
2018-01-23T00:00:00.000+0000	399156
2018-01-24T00:00:00.000+0000	404590
2018-01-25T00:00:00.000+0000	396250
2018-01-26T00:00:00.000+0000	393435
2018-01-27T00:00:00.000+0000	341390
2018-01-28T00:00:00.000+0000	327811
2018-01-29T00:00:00.000+0000	389195
2018-01-30T00:00:00.000+0000	407164
2018-01-31T00:00:00.000+0000	441573
2018-02-01T00:00:00.000+0000	405590
2018-02-02T00:00:00.000+0000	423708
2018-02-03T00:00:00.000+0000	358072
2018-02-04T00:00:00.000+0000	361415
2018-02-05T00:00:00.000+0000	454096
2018-02-06T00:00:00.000+0000	400317
2018-02-07T00:00:00.000+0000	401316
2018-02-08T00:00:00.000+0000	395204
2018-02-09T00:00:00.000+0000	391826
2018-02-10T00:00:00.000+0000	348215
2018-02-11T00:00:00.000+0000	321285
2018-02-12T00:00:00.000+0000	356820
2018-02-13T00:00:00.000+0000	384910
2018-02-14T00:00:00.000+0000	412782
2018-02-15T00:00:00.000+0000	446157
2018-02-16T00:00:00.000+0000	437920
2018-02-17T00:00:00.000+0000	371514
2018-02-18T00:00:00.000+0000	369216
2018-02-19T00:00:00.000+0000	373950
2018-02-20T00:00:00.000+0000	398364
2018-02-21T00:00:00.000+0000	426075
2018-02-22T00:00:00.000+0000	451683
2018-02-23T00:00:00.000+0000	433979
2018-02-24T00:00:00.000+0000	387001
2018-02-25T00:00:00.000+0000	364150
2018-02-26T00:00:00.000+0000	394182
2018-02-27T00:00:00.000+0000	402477
2018-02-28T00:00:00.000+0000	412575
2018-03-01T00:00:00.000+0000	414482
2018-03-02T00:00:00.000+0000	408290
2018-03-03T00:00:00.000+0000	352041
2018-03-04T00:00:00.000+0000	336025
2018-03-05T00:00:00.000+0000	398616
2018-03-06T00:00:00.000+0000	393308
2018-03-07T00:00:00.000+0000	402258
2018-03-08T00:00:00.000+0000	416952
2018-03-09T00:00:00.000+0000	396238
2018-03-10T00:00:00.000+0000	338507
2018-03-11T00:00:00.000+0000	332004
2018-03-12T00:00:00.000+0000	372606
2018-03-13T00:00:00.000+0000	413161
2018-03-14T00:00:00.000+0000	442745
2018-03-15T00:00:00.000+0000	410599
2018-03-16T00:00:00.000+0000	383462
2018-03-17T00:00:00.000+0000	374984
2018-03-18T00:00:00.000+0000	342218
2018-03-19T00:00:00.000+0000	379005
2018-03-20T00:00:00.000+0000	396663
2018-03-21T00:00:00.000+0000	394423
2018-03-22T00:00:00.000+0000	396445
2018-03-23T00:00:00.000+0000	403407
2018-03-24T00:00:00.000+0000	375880
2018-03-25T00:00:00.000+0000	349869
2018-03-26T00:00:00.000+0000	372870
2018-03-27T00:00:00.000+0000	382968
2018-03-28T00:00:00.000+0000	385243
2018-03-29T00:00:00.000+0000	392998
2018-03-30T00:00:00.000+0000	390310
2018-03-31T00:00:00.000+0000	338897
2018-04-01T00:00:00.000+0000	327615
2018-04-02T00:00:00.000+0000	362587
2018-04-03T00:00:00.000+0000	393722
2018-04-04T00:00:00.000+0000	389609
2018-04-05T00:00:00.000+0000	386473
2018-04-06T00:00:00.000+0000	368504
2018-04-07T00:00:00.000+0000	328707
2018-04-08T00:00:00.000+0000	321181
2018-04-09T00:00:00.000+0000	356395
2018-04-10T00:00:00.000+0000	392527
2018-04-11T00:00:00.000+0000	394848
2018-04-12T00:00:00.000+0000	394928
2018-04-13T00:00:00.000+0000	391987
2018-04-14T00:00:00.000+0000	352603
2018-04-15T00:00:00.000+0000	336186
2018-04-16T00:00:00.000+0000	370848
2018-04-17T00:00:00.000+0000	386484
2018-04-18T00:00:00.000+0000	389827
2018-04-19T00:00:00.000+0000	387116
2018-04-20T00:00:00.000+0000	387173
2018-04-21T00:00:00.000+0000	327937
2018-04-22T00:00:00.000+0000	325065
2018-04-23T00:00:00.000+0000	359290
2018-04-24T00:00:00.000+0000	375179
2018-04-25T00:00:00.000+0000	380717
2018-04-26T00:00:00.000+0000	398846
2018-04-27T00:00:00.000+0000	401810
2018-04-28T00:00:00.000+0000	360232
2018-04-29T00:00:00.000+0000	341402
2018-04-30T00:00:00.000+0000	360301
2018-05-01T00:00:00.000+0000	376891
2018-05-02T00:00:00.000+0000	380303
2018-05-03T00:00:00.000+0000	394492
2018-05-04T00:00:00.000+0000	386519
2018-05-05T00:00:00.000+0000	334060
2018-05-06T00:00:00.000+0000	321296
2018-05-07T00:00:00.000+0000	356877
2018-05-08T00:00:00.000+0000	392539
2018-05-09T00:00:00.000+0000	403775
2018-05-10T00:00:00.000+0000	385324
2018-05-11T00:00:00.000+0000	376787
2018-05-12T00:00:00.000+0000	319309
2018-05-13T00:00:00.000+0000	303305
2018-05-14T00:00:00.000+0000	359026
2018-05-15T00:00:00.000+0000	395227
2018-05-16T00:00:00.000+0000	400110
2018-05-17T00:00:00.000+0000	396422
2018-05-18T00:00:00.000+0000	411691
2018-05-19T00:00:00.000+0000	352799
2018-05-20T00:00:00.000+0000	327018
2018-05-21T00:00:00.000+0000	376960
2018-05-22T00:00:00.000+0000	376673
2018-05-23T00:00:00.000+0000	397996
2018-05-24T00:00:00.000+0000	387047
2018-05-25T00:00:00.000+0000	357773
2018-05-26T00:00:00.000+0000	312887
2018-05-27T00:00:00.000+0000	292643
2018-05-28T00:00:00.000+0000	309279
2018-05-29T00:00:00.000+0000	355464
2018-05-30T00:00:00.000+0000	378534
2018-05-31T00:00:00.000+0000	360152
2018-06-01T00:00:00.000+0000	379349
2018-06-02T00:00:00.000+0000	298594
2018-06-03T00:00:00.000+0000	294562
2018-06-04T00:00:00.000+0000	345090
2018-06-05T00:00:00.000+0000	364437
2018-06-06T00:00:00.000+0000	368849
2018-06-07T00:00:00.000+0000	373640
2018-06-08T00:00:00.000+0000	380820
2018-06-09T00:00:00.000+0000	324444
2018-06-10T00:00:00.000+0000	318780
2018-06-11T00:00:00.000+0000	366425
2018-06-12T00:00:00.000+0000	387909
2018-06-13T00:00:00.000+0000	372008
2018-06-14T00:00:00.000+0000	376293
2018-06-15T00:00:00.000+0000	371123
2018-06-16T00:00:00.000+0000	324835
2018-06-17T00:00:00.000+0000	318987
2018-06-18T00:00:00.000+0000	378419
2018-06-19T00:00:00.000+0000	411828
2018-06-20T00:00:00.000+0000	429613
2018-06-21T00:00:00.000+0000	399558
2018-06-22T00:00:00.000+0000	383911
2018-06-23T00:00:00.000+0000	331441
2018-06-24T00:00:00.000+0000	316597
2018-06-25T00:00:00.000+0000	355154
2018-06-26T00:00:00.000+0000	382635
2018-06-27T00:00:00.000+0000	393596
2018-06-28T00:00:00.000+0000	386679
2018-06-29T00:00:00.000+0000	381705
2018-06-30T00:00:00.000+0000	328282
2018-07-01T00:00:00.000+0000	323525
2018-07-02T00:00:00.000+0000	362863
2018-07-03T00:00:00.000+0000	364322
2018-07-04T00:00:00.000+0000	342034
2018-07-05T00:00:00.000+0000	311473
2018-07-06T00:00:00.000+0000	319929
2018-07-07T00:00:00.000+0000	276180
2018-07-08T00:00:00.000+0000	262267
2018-07-09T00:00:00.000+0000	297756
2018-07-10T00:00:00.000+0000	324272
2018-07-11T00:00:00.000+0000	324755
2018-07-12T00:00:00.000+0000	326868
2018-07-13T00:00:00.000+0000	328167
2018-07-14T00:00:00.000+0000	278994
2018-07-15T00:00:00.000+0000	273480
2018-07-16T00:00:00.000+0000	347054
2018-07-17T00:00:00.000+0000	357107
2018-07-18T00:00:00.000+0000	342792
2018-07-19T00:00:00.000+0000	330729
2018-07-20T00:00:00.000+0000	313840
2018-07-21T00:00:00.000+0000	264806
2018-07-22T00:00:00.000+0000	257671
2018-07-23T00:00:00.000+0000	303960
2018-07-24T00:00:00.000+0000	319010
2018-07-25T00:00:00.000+0000	329212
2018-07-26T00:00:00.000+0000	327052
2018-07-27T00:00:00.000+0000	316034
2018-07-28T00:00:00.000+0000	263864
2018-07-29T00:00:00.000+0000	254064
2018-07-30T00:00:00.000+0000	293964
2018-07-31T00:00:00.000+0000	316862
2018-08-01T00:00:00.000+0000	320837
2018-08-02T00:00:00.000+0000	312978
2018-08-03T00:00:00.000+0000	314461
2018-08-04T00:00:00.000+0000	273101
2018-08-05T00:00:00.000+0000	265162
2018-08-06T00:00:00.000+0000	297170
2018-08-07T00:00:00.000+0000	320837
2018-08-08T00:00:00.000+0000	324559
2018-08-09T00:00:00.000+0000	318665
2018-08-10T00:00:00.000+0000	318080
2018-08-11T00:00:00.000+0000	277983
2018-08-12T00:00:00.000+0000	257752
2018-08-13T00:00:00.000+0000	286244
2018-08-14T00:00:00.000+0000	306568
2018-08-15T00:00:00.000+0000	314311
2018-08-16T00:00:00.000+0000	318091
2018-08-17T00:00:00.000+0000	298135
2018-08-18T00:00:00.000+0000	260658
2018-08-19T00:00:00.000+0000	257235
2018-08-20T00:00:00.000+0000	290771
2018-08-21T00:00:00.000+0000	335382
2018-08-22T00:00:00.000+0000	343033
2018-08-23T00:00:00.000+0000	312565
2018-08-24T00:00:00.000+0000	311037
2018-08-25T00:00:00.000+0000	270562
2018-08-26T00:00:00.000+0000	273445
2018-08-27T00:00:00.000+0000	298732
2018-08-28T00:00:00.000+0000	304833
2018-08-29T00:00:00.000+0000	314932
2018-08-30T00:00:00.000+0000	309153
2018-08-31T00:00:00.000+0000	313909
2018-09-01T00:00:00.000+0000	291839
2018-09-02T00:00:00.000+0000	249744
2018-09-03T00:00:00.000+0000	270183
2018-09-04T00:00:00.000+0000	316643
2018-09-05T00:00:00.000+0000	326443
2018-09-06T00:00:00.000+0000	333245
2018-09-07T00:00:00.000+0000	346572
2018-09-08T00:00:00.000+0000	295205
2018-09-09T00:00:00.000+0000	295297
2018-09-10T00:00:00.000+0000	299881
2018-09-11T00:00:00.000+0000	300054
2018-09-12T00:00:00.000+0000	309072
2018-09-13T00:00:00.000+0000	319320
2018-09-14T00:00:00.000+0000	311887
2018-09-15T00:00:00.000+0000	262313
2018-09-16T00:00:00.000+0000	272090
2018-09-17T00:00:00.000+0000	298617
2018-09-18T00:00:00.000+0000	314656
2018-09-19T00:00:00.000+0000	305672
2018-09-20T00:00:00.000+0000	300122
2018-09-21T00:00:00.000+0000	312818
2018-09-22T00:00:00.000+0000	282590
2018-09-23T00:00:00.000+0000	278477
2018-09-24T00:00:00.000+0000	311014
2018-09-25T00:00:00.000+0000	315046
2018-09-26T00:00:00.000+0000	325811
2018-09-27T00:00:00.000+0000	383589
2018-09-28T00:00:00.000+0000	384496
